Timestamp	Ch_0
16716.881279	1
16719.2063061	1
16719.5738004	1
16719.799120800002	1
16721.3046137	2
16721.551303300002	2
16721.780958000003	2
16723.0073396	3
16729.9770783	3
16730.487485700003	3
16730.799708500002	3
16732.0312913	1
16732.7125379	2
16732.936273599997	1
16733.137133800003	3
16733.3716567	2
16733.6320795	1
16733.833352100002	3
16734.240109	3
16734.5236561	3
16734.724975700003	2
16735.096040800003	1
16735.3762019	1
16735.7601527	2
16735.9615814	1
16736.163112399998	3
16736.443328499998	2
16736.7835318	3
16737.016144200003	1
16737.3678697	1
16737.627930900002	1
16737.8293643	2
16738.0316954	1
16738.517628100002	2
16738.7190223	3
16739.271426400002	2
16739.541097499998	1
16740.7500078	0
