Timestamp	Ch_0
17209.751155449998	1
17209.95245745	1
17211.531876049998	1
17211.99635775	1
17212.359443549998	1
17216.343739649998	1
17216.602714949997	1
17217.133527749997	1
17218.558376049998	2
17218.856612249998	3
17219.17075495	3
17219.37228235	2
17219.573689049997	3
17219.90479265	3
17223.67681445	3
17223.994404449997	3
17225.07274135	2
17225.273326649996	1
17225.474604649997	2
17225.675200949998	1
17225.876690049998	2
17226.184928749997	2
17226.38633155	2
17226.709869649996	1
17234.312809149997	0
